模型族,参数,场量,扰动百分比,最大绝对有限响应,每1百分比的最大响应,峰值响应符号,峰值时刻_s,峰值材料坐标_xi,得分数值区间下限,得分数值区间上限,峰值候选位置数,结构零
Q1,扩散前因子,C,1.0,0.32925880620726655,0.0032925880620726655,0.32925880620726655,1800.0,1.0,0.3290715153433786,0.3294460970711545,1,False
Q1,扩散前因子,T,1.0,5.702105454474804e-11,5.702105454474804e-13,-5.702105454474804e-11,1500.0,0.0,0.0,0.00021568659697882405,35,True
Q1,含水率指数系数,C,1.0,0.15963574205589692,0.0015963574205589692,-0.15963574205589692,1800.0,1.0,0.15944846354723385,0.15982302056456,1,False
Q1,含水率指数系数,T,1.0,1.5702994460298214e-10,1.5702994460298214e-12,-1.5702994460298214e-10,600.0,0.0,0.0,0.0002156866445817685,35,True
Q1,对流换热系数,C,1.0,4.5718984154063946e-11,4.571898415406395e-13,-4.5718984154063946e-11,100.0,1.0,0.0,0.0005813771195660973,35,True
Q1,对流换热系数,T,1.0,3.5202392601682675,0.035202392601682675,3.5202392601682675,1800.0,1.0,3.520030380487102,3.520448139849433,1,False
Q1,对流传质系数,C,1.0,0.7166258169251205,0.007166258169251205,-0.7166258169251205,1800.0,1.0,0.7164385465080048,0.7168130873422363,1,False
Q1,对流传质系数,T,1.0,1.071143174158351e-10,1.071143174158351e-12,-1.071143174158351e-10,900.0,0.0,0.0,0.00021568661542254372,35,True
Q1,导热系数,C,1.0,1.80855330711438e-11,1.80855330711438e-13,-1.80855330711438e-11,600.0,1.0,0.0,0.0005813770492775607,35,True
Q1,导热系数,T,1.0,2.3379709545867655,0.023379709545867655,2.3379709545867655,1800.0,0.0,2.337762057657583,2.338179851515948,1,False
Q1,体积热容量,C,1.0,3.077538224260934e-11,3.077538224260934e-13,3.077538224260934e-11,100.0,1.0,0.0,0.0005813770817810244,35,True
Q1,体积热容量,T,1.0,4.959665206225239,0.04959665206225239,-4.959665206225239,1800.0,0.0,4.9594563300579075,4.95987408239257,1,False
Q1,初始含水率,C,1.0,2.55000000000003,0.0255000000000003,2.55000000000003,300.0,0.25,2.5497885793212216,2.5505813820634784,17,False
Q1,初始含水率,T,1.0,2.8403945862010005e-10,2.8403945862010005e-12,2.8403945862010005e-10,900.0,0.5,0.0,0.00021568672934789537,35,True
Q1,初始半径,C,1.0,0.42025761820603247,0.004202576182060325,0.42025761820603247,1800.0,0.75,0.4200703359982933,0.42044490041377164,1,False
Q1,初始半径,T,1.0,7.2973252794305665,0.07297325279430567,-7.2973252794305665,1800.0,0.0,7.297116395493384,7.297534163367749,1,False
Q23,扩散前因子,C,1.0,0.5497692142318988,0.005497692142318988,-0.5497692142318988,10800.0,0.0,0.5497061020026592,0.5498323264611384,1,False
Q23,扩散前因子,T,1.0,0.13124468000000888,0.0013124468000000888,0.13124468000000888,5400.0,0.0,0.1311052903687727,0.13138406963124508,1,False
Q23,含水率指数系数,C,1.0,0.14261488147454537,0.0014261488147454537,0.14261488147454537,10800.0,0.0,0.1425517666772175,0.14267799627187325,1,False
Q23,含水率指数系数,T,1.0,0.02934700404928492,0.0002934700404928492,-0.02934700404928492,5400.0,0.0,0.029207615862498027,0.02948639223607181,1,False
Q23,对流换热系数,C,1.0,0.06271301359279668,0.0006271301359279668,-0.06271301359279668,7200.0,0.0,0.06264722382955705,0.06277880335603632,1,False
Q23,对流换热系数,T,1.0,4.547514933376107,0.04547514933376107,4.547514933376107,3600.0,0.75,4.547317486321144,4.5477123804310695,1,False
Q23,对流传质系数,C,1.0,0.7511276606806727,0.007511276606806727,-0.7511276606806727,10800.0,1.0,0.751064546985698,0.7511907743756474,1,False
Q23,对流传质系数,T,1.0,0.2625741778839341,0.002625741778839341,0.2625741778839341,5400.0,0.0,0.26243479012385884,0.2627135656440094,1,False
Q23,导热系数,C,1.0,0.01878506887749154,0.0001878506887749154,-0.01878506887749154,7200.0,0.0,0.018768617267398927,0.018801520487584152,1,False
Q23,导热系数,T,1.0,2.640723401292888,0.026407234012928882,2.640723401292888,3600.0,0.0,2.640673966944703,2.6407728356410733,1,False
Q23,体积热容量,C,1.0,0.08148983013307465,0.0008148983013307465,0.08148983013307465,7200.0,0.0,0.08142404092293974,0.08155561934320955,1,False
Q23,体积热容量,T,1.0,7.160532760237359,0.07160532760237359,-7.160532760237359,3600.0,0.0,7.160335317507975,7.160730202966743,1,False
Q23,初始含水率,C,1.0,2.5498479108352345,0.025498479108352345,2.5498479108352345,1800.0,0.0,2.5497176405150204,2.5499781811554487,1,False
Q23,初始含水率,T,1.0,2.9812876701058144,0.029812876701058144,-2.9812876701058144,3600.0,0.0,2.9810902181591885,2.9814851220524403,1,False
Q23,温度指数系数,C,1.0,6.608735947541522,0.06608735947541522,6.608735947541522,10800.0,0.0,6.60867357375261,6.6087983213304335,1,False
Q23,温度指数系数,T,1.0,1.6247625379989472,0.016247625379989472,-1.6247625379989472,5400.0,0.0,1.6246230612557024,1.624902014742192,1,False
Q23,初始半径,C,1.0,1.5707746554887936,0.015707746554887936,1.5707746554887936,10800.0,0.0,1.5707115677108925,1.5708377432666947,1,False
Q23,初始半径,T,1.0,10.20189255893662,0.1020189255893662,-10.20189255893662,3600.0,0.0,10.201695109812649,10.202090008060592,1,False
Q1,初始半径,C,0.5,0.4202395425611183,0.004202395425611183,0.4202395425611183,1800.0,0.75,0.41986498621916235,0.4206140989030742,1,False
Q1,初始半径,T,0.5,7.297354922809518,0.07297354922809518,-7.297354922809518,1800.0,0.0,7.296937157170767,7.297772688448269,1,False
Q1,体积热容量,C,0.5,6.636913241209186e-11,6.636913241209186e-13,6.636913241209186e-11,600.0,1.0,0.0,0.0011627541004876048,35,True
Q1,体积热容量,T,0.5,4.959573564993747,0.04959573564993747,-4.959573564993747,1800.0,0.0,4.959155804401441,4.959991325586052,1,False
Q1,初始含水率,C,0.5,2.550000000000008,0.025500000000000078,2.550000000000008,600.0,0.0,2.549587818010326,2.5511627566104806,17,False
Q1,初始含水率,T,0.5,8.000711204658728e-10,8.000711204658728e-12,8.000711204658728e-10,900.0,0.0,0.0,0.00043137364898850246,35,True
Q1,对流传质系数,C,0.5,0.7166209662930134,0.007166209662930134,-0.7166209662930134,1800.0,1.0,0.7162464145588012,0.7169955180272256,1,False
Q1,对流传质系数,T,0.5,3.19033688356285e-10,3.19033688356285e-12,-3.19033688356285e-10,600.0,0.0,0.0,0.00043137333770680526,35,True
Q23,温度指数系数,C,0.5,6.616926819903202,0.06616926819903202,6.616926819903202,10800.0,0.0,6.616800958116,6.617052681690403,1,False
Q23,温度指数系数,T,0.5,1.6260956019991113,0.016260956019991113,-1.6260956019991113,5400.0,0.0,1.6258167800247307,1.6263744239734919,1,False
Q23,含水率指数系数,C,0.5,0.14261501161201284,0.0014261501161201284,0.14261501161201284,10800.0,0.0,0.14248878138191626,0.14274124184210943,1,False
Q23,含水率指数系数,T,0.5,0.02934700765919729,0.0002934700765919729,-0.02934700765919729,5400.0,0.0,0.029068231381894023,0.029625783936500553,1,False
Q23,初始半径,C,0.5,1.5707830589200888,0.01570783058920089,1.5707830589200888,10800.0,0.0,1.5706568421990768,1.570909275641101,1,False
Q23,初始半径,T,0.5,10.202070070976532,0.10202070070976532,-10.202070070976532,3600.0,0.0,10.201675166395525,10.20246497555754,1,False
Q23,初始含水率,C,0.5,2.5498479075862335,0.025498479075862335,2.5498479075862335,1800.0,0.0,2.549587367532442,2.550108447640025,1,False
Q23,初始含水率,T,0.5,2.98126541264665,0.029812654126466498,-2.98126541264665,3600.0,0.0,2.9808705074213946,2.981660317871905,1,False
