模型族,参数,扰动百分比,场量,时刻_s,材料坐标_xi,有符号有限响应,数值工作预算,结构零
Q1,扩散前因子,1.0,C,100.0,0.0,0.0,0.000581439719289717,False
Q1,扩散前因子,1.0,C,100.0,0.25,0.0,0.000581439719289717,False
Q1,扩散前因子,1.0,C,100.0,0.5,0.0,0.000581439719289717,False
Q1,扩散前因子,1.0,C,100.0,0.75,-5.388401946859744e-07,0.000581439719289717,False
Q1,扩散前因子,1.0,C,100.0,1.0,0.13655584756595562,0.000581439719289717,False
Q1,扩散前因子,1.0,C,300.0,0.0,2.220446049250313e-14,0.0004153117698252988,False
Q1,扩散前因子,1.0,C,300.0,0.25,0.0,0.0004153117698252988,False
Q1,扩散前因子,1.0,C,300.0,0.5,-1.6880918884965013e-08,0.0004153117698252988,False
Q1,扩散前因子,1.0,C,300.0,0.75,-0.0036281079608180278,0.0004153117698252988,False
Q1,扩散前因子,1.0,C,300.0,1.0,0.2082891404563192,0.0004153117698252988,False
Q1,扩散前因子,1.0,C,600.0,0.0,-8.881784197001252e-14,0.00031997354557900985,False
Q1,扩散前因子,1.0,C,600.0,0.25,-4.08033606902336e-09,0.00031997354557900985,False
Q1,扩散前因子,1.0,C,600.0,0.5,-0.00010059407677953658,0.00031997354557900985,False
Q1,扩散前因子,1.0,C,600.0,0.75,-0.03461918805192088,0.00031997354557900985,False
Q1,扩散前因子,1.0,C,600.0,1.0,0.26007309026792047,0.00031997354557900985,False
Q1,扩散前因子,1.0,C,900.0,0.0,-1.2378542635360645e-09,0.0002680939150003213,False
Q1,扩散前因子,1.0,C,900.0,0.25,-2.663135156844021e-06,0.0002680939150003213,False
Q1,扩散前因子,1.0,C,900.0,0.5,-0.0018931907833641404,0.0002680939150003213,False
Q1,扩散前因子,1.0,C,900.0,0.75,-0.07313116002007902,0.0002680939150003213,False
Q1,扩散前因子,1.0,C,900.0,1.0,0.2894358984543377,0.0002680939150003213,False
Q1,扩散前因子,1.0,C,1200.0,0.0,-3.3008316080440636e-07,0.00023326988578845558,False
Q1,扩散前因子,1.0,C,1200.0,0.25,-6.956312459394098e-05,0.00023326988578845558,False
Q1,扩散前因子,1.0,C,1200.0,0.5,-0.008296008867603177,0.00023326988578845558,False
Q1,扩散前因子,1.0,C,1200.0,0.75,-0.10532243107064243,0.00023326988578845558,False
Q1,扩散前因子,1.0,C,1200.0,1.0,0.3082114690662663,0.00023326988578845558,False
Q1,扩散前因子,1.0,C,1500.0,0.0,-9.300810588364072e-06,0.0002074790229424388,False
Q1,扩散前因子,1.0,C,1500.0,0.25,-0.0004977990708754376,0.0002074790229424388,False
Q1,扩散前因子,1.0,C,1500.0,0.5,-0.020186248355291703,0.0002074790229424388,False
Q1,扩散前因子,1.0,C,1500.0,0.75,-0.13009065559823618,0.0002074790229424388,False
Q1,扩散前因子,1.0,C,1500.0,1.0,0.32076947519130705,0.0002074790229424388,False
Q1,扩散前因子,1.0,C,1800.0,0.0,-8.520901875197495e-05,0.00018729086388799044,False
Q1,扩散前因子,1.0,C,1800.0,0.25,-0.001858601351223399,0.00018729086388799044,False
Q1,扩散前因子,1.0,C,1800.0,0.5,-0.036532393939814334,0.00018729086388799044,False
Q1,扩散前因子,1.0,C,1800.0,0.75,-0.14889654541179187,0.00018729086388799044,False
Q1,扩散前因子,1.0,C,1800.0,1.0,0.32925880620726655,0.00018729086388799044,False
Q1,扩散前因子,1.0,T,100.0,0.0,5.329070518200751e-13,5.2142245658532636e-05,True
Q1,扩散前因子,1.0,T,100.0,0.25,0.0,5.2142245658532636e-05,True
Q1,扩散前因子,1.0,T,100.0,0.5,1.7763568394002505e-13,5.2142245658532636e-05,True
Q1,扩散前因子,1.0,T,100.0,0.75,-5.151434834260726e-12,5.2142245658532636e-05,True
Q1,扩散前因子,1.0,T,100.0,1.0,1.4566126083082054e-11,5.2142245658532636e-05,True
Q1,扩散前因子,1.0,T,300.0,0.0,1.0658141036401503e-12,0.00011003334791352223,True
Q1,扩散前因子,1.0,T,300.0,0.25,4.440892098500626e-12,0.00011003334791352223,True
Q1,扩散前因子,1.0,T,300.0,0.5,-9.947598300641403e-12,0.00011003334791352223,True
Q1,扩散前因子,1.0,T,300.0,0.75,2.220446049250313e-11,0.00011003334791352223,True
