工况,模型族,临界时间_h,相对本族基准变化_s,时间预算_s,变化量预算_s
附录三物性_收缩,Q23,25.240691503967906,-116039.90057993784,0.032986372432316946,0.13295070607128123
附录四物性_固定半径,Q4,129.84836082141436,283535.49303842895,0.3094287687045239,0.41244245767030285
问题二三_平台温度_降低,Q23,58.39717968883097,3323.456885569176,0.1022545309158409,0.2022188645548052
问题二三_平台温度_增加,Q23,56.57122125098495,-3249.993490676483,0.09788780075053817,0.19785213438950244
问题二三_平台含水参考量_降低,Q23,57.46412652197526,-35.534515111357905,0.10002387452067452,0.1999882081596388
问题二三_平台含水参考量_增加,Q23,57.48405526938813,36.208975574962096,0.09987594766799325,0.19984028130695752
问题四_平台温度_降低,Q4,51.89809289935169,2914.528519003361,0.10537189717374114,0.20838558613952007
问题四_平台温度_增加,Q4,50.296577517558305,-2850.9268554528244,0.1007067164353172,0.20372040540109615
问题四_平台含水参考量_降低,Q4,51.07750885107247,-39.574054801807506,0.10312065046090925,0.20613433942668818
问题四_平台含水参考量_增加,Q4,51.09977964313564,40.600796625600196,0.10290935181221218,0.20592304077799112
问题二三_E1,Q23,57.44787690870098,-94.03312289877795,0.09984799516840329,0.19981232880736757
问题二三_E2,Q23,57.169377605718246,-1096.6306136366038,0.09929041610382516,0.19925474974278945
问题二三_E3,Q23,57.47230007631996,-6.1097194704343565,0.10003508522295176,0.19999941886191605
问题四_E1,Q4,51.06559744210819,-82.45512707321905,0.1029478148213633,0.20596150378714223
问题四_E2,Q4,50.82071039646895,-964.0484913745022,0.10226966039232303,0.205283349358102
问题四_E3,Q4,51.08707283637478,-5.143707713490585,0.10300924243298612,0.20602293139876507
问题四_半径线性插值,Q4,51.092003255616575,12.605801556957886,0.10300023660537212,0.20601392557115106
问题四_E1_半径线性插值,Q4,51.069098251555985,-69.85221306115272,0.10293808097797212,0.20595176994375108
问题四_E2_半径线性插值,Q4,50.824202588487076,-951.4766001092503,0.10225646434333122,0.20527015330911016
问题四_E3_半径线性插值,Q4,51.090574399977214,7.461921255249763,0.10299042307660508,0.20600411204238403
